296859a80	_$s7ToolKit0A8DatabaseC8AccessorC5tools8matching6locale5scopeSayAA0A10DefinitionVGAA0aI5QueryV_10Foundation6LocaleVAA0abC12RequestScopeOtKFfA1_	default argument 2 of ToolKit.ToolDatabase.Accessor.tools(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
296859a90	_$s7ToolKit0A8DatabaseC8AccessorC7iterate4over5scope13localeOptions5blockyAA0A15DefinitionQueryV_AA0abC12RequestScopeOAA0ac6LocaleI0VyAA0aK0VKctKFfA1_	default argument 2 of ToolKit.ToolDatabase.Accessor.iterate(over: ToolKit.ToolDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, localeOptions: ToolKit.ToolDatabaseLocaleOptions, block: (ToolKit.ToolDefinition) throws -> ()) throws -> ()
29685b830	_$s7ToolKit0A8DatabaseC8AccessorC7iterate4over5scope6locale5blockyAA0A15DefinitionQueryV_AA0abC12RequestScopeO10Foundation6LocaleVyAA0aJ0VKctKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.iterate(over: ToolKit.ToolDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale, block: (ToolKit.ToolDefinition) throws -> ()) throws -> ()
29685b834	_$s7ToolKit0A8DatabaseC8AccessorC7iterate4over5scope13localeOptions5blockyAA0A15DefinitionQueryV_AA0abC12RequestScopeOAA0ac6LocaleI0VyAA0aK0VKctKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.iterate(over: ToolKit.ToolDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, localeOptions: ToolKit.ToolDatabaseLocaleOptions, block: (ToolKit.ToolDefinition) throws -> ()) throws -> ()
29685b83c	_$s7ToolKit0A8DatabaseC8AccessorC8triggers8matching5scope6localeSayAA17TriggerDefinitionVGAA0iJ5QueryV_AA0abC12RequestScopeO10Foundation6LocaleVtKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.triggers(matching: ToolKit.TriggerDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale) throws -> [ToolKit.TriggerDefinition]
29685b840	_$s7ToolKit0A8DatabaseC8AccessorC7iterate4over5scope6locale5blockyAA22TriggerDefinitionQueryV_AA0abC12RequestScopeO10Foundation6LocaleVyAA0jK0VKXEtKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.iterate(over: ToolKit.TriggerDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale, block: (ToolKit.TriggerDefinition) throws -> ()) throws -> ()
29685b898	_$s7ToolKit0A8DatabaseC18triggerPythonNames8matching6localeSaySSGAA22TriggerDefinitionQueryV_10Foundation6LocaleVtKFfA0_	default argument 1 of ToolKit.ToolDatabase.triggerPythonNames(matching: ToolKit.TriggerDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
29685b8a4	_$s7ToolKit0A8DatabaseC8AccessorC4tool8matching6localeAA0A10DefinitionVSgAA0aH5QueryV_10Foundation6LocaleVtKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.tool(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.ToolDefinition?
29685b8a8	_$s7ToolKit0A8DatabaseC8AccessorC5tools8matching6locale5scopeSayAA0A10DefinitionVGAA0aI5QueryV_10Foundation6LocaleVAA0abC12RequestScopeOtKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.tools(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale, scope: ToolKit.ToolKitDatabaseRequestScope) throws -> [ToolKit.ToolDefinition]
29685b8ac	_$s7ToolKit0A8DatabaseC8AccessorC7iterate4over5scope6locale5blockyAA0A15DefinitionQueryV_AA0abC12RequestScopeO10Foundation6LocaleVyAA0aJ0VKctKFfA1_	default argument 2 of ToolKit.ToolDatabase.Accessor.iterate(over: ToolKit.ToolDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale, block: (ToolKit.ToolDefinition) throws -> ()) throws -> ()
29685b8bc	_$s7ToolKit0A8DatabaseC8AccessorC7trigger8matching6localeAA17TriggerDefinitionVSgAA0hI5QueryV_10Foundation6LocaleVtKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.trigger(matching: ToolKit.TriggerDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.TriggerDefinition?
29685b8c0	_$s7ToolKit0A8DatabaseC8AccessorC8triggers8matching5scope6localeSayAA17TriggerDefinitionVGAA0iJ5QueryV_AA0abC12RequestScopeO10Foundation6LocaleVtKFfA1_	default argument 2 of ToolKit.ToolDatabase.Accessor.triggers(matching: ToolKit.TriggerDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale) throws -> [ToolKit.TriggerDefinition]
29685b8c4	_$s7ToolKit0A8DatabaseC8AccessorC7iterate4over5scope6locale5blockyAA22TriggerDefinitionQueryV_AA0abC12RequestScopeO10Foundation6LocaleVyAA0jK0VKXEtKFfA1_	default argument 2 of ToolKit.ToolDatabase.Accessor.iterate(over: ToolKit.TriggerDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale, block: (ToolKit.TriggerDefinition) throws -> ()) throws -> ()
29685b8d0	_$s7ToolKit0A8DatabaseC8AccessorC15toolPythonNames8matching6localeSaySSGAA0A15DefinitionQueryV_10Foundation6LocaleVtKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.toolPythonNames(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
29685b8d4	_$s7ToolKit0A8DatabaseC8AccessorC18triggerPythonNames8matching6localeSaySSGAA22TriggerDefinitionQueryV_10Foundation6LocaleVtKFfA0_	default argument 1 of ToolKit.ToolDatabase.Accessor.triggerPythonNames(matching: ToolKit.TriggerDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
29685b8e4	_$s7ToolKit0A8DatabaseC15toolPythonNames8matching6localeSaySSGAA0A15DefinitionQueryV_10Foundation6LocaleVtKFfA0_	default argument 1 of ToolKit.ToolDatabase.toolPythonNames(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
296ae1704	_$s7ToolKit0A8DatabaseC4tool8matching6localeAA0A10DefinitionVSgAA0aG5QueryV_10Foundation6LocaleVtKF	ToolKit.ToolDatabase.tool(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.ToolDefinition?
